ID,from_type,from_id,to_type,to_id
153,zibaldone,p15_1,person,Q6691
154,zibaldone,p15_1,person,Q213675
155,zibaldone,p15_1,person,Q154367
156,zibaldone,p15_1,person,Q6691
157,zibaldone,p15_1,person,Q1398
158,zibaldone,p15_1,person,Q3839154
159,zibaldone,p15_1,bibl,Q3223100
160,zibaldone,p15_1,person,Q5679
161,zibaldone,p15_1,person,Q3839154
162,zibaldone,p15_1,person,Q131671
163,zibaldone,p15_1,person,Q5679
164,zibaldone,p15_1,person,Q3839154
165,zibaldone,p15_1,person,Q1398
166,zibaldone,p15_1,person,Q1398
167,zibaldone,p15_1,person,Q1541
168,zibaldone,p15_1,person,Q1541
169,zibaldone,p15_1,person,Q1541
170,zibaldone,p15_1,person,Q3839154
171,zibaldone,p15_1,person,Q134929
172,zibaldone,p15_1,person,Q6197
173,zibaldone,p20_1,person,Q3839154
174,zibaldone,p20_1,person,Q213484
175,zibaldone,p20_1,person,Q6197
176,zibaldone,p20_1,person,Q3839154
177,zibaldone,p20_1,person,Q3839154
178,zibaldone,p21_1,person,Q7198
179,zibaldone,p21_1,person,Q1067
180,zibaldone,p21_1,person,Q48900
181,zibaldone,p21_1,person,Q1401
182,zibaldone,p21_1,person,Q3839154
183,zibaldone,p21_2,person,Q7198
184,zibaldone,p21_2,person,Q1067
185,zibaldone,p21_2,person,Q7198
186,zibaldone,p21_5,bibl,Q6245111
187,zibaldone,p21_5,person,Q744540
188,zibaldone,p21_5,person,Q123041
189,zibaldone,p21_5,place,Q194450
190,zibaldone,p21_5,person,Q744540
191,zibaldone,p21_5,person,Q1541
192,zibaldone,p21_5,person,Q51673
193,zibaldone,p21_5,person,Q51673
194,zibaldone,p21_5,place,Q1747689
195,zibaldone,p21_5,person,Q1541
196,zibaldone,p21_5,person,Q172248
197,zibaldone,p23_4,bibl,viaf56672363
198,zibaldone,p23_4,person,Q3839154
199,zibaldone,p23_5,person,Q1401
200,zibaldone,p23_5,person,Q6197
201,zibaldone,p23_5,person,Q1401
202,zibaldone,p23_5,bibl,Q777574
203,zibaldone,p23_5,person,Q129165
204,zibaldone,p23_5,bibl,Q777574
205,zibaldone,p23_5,bibl,Q777574
206,zibaldone,p23_5,person,Q177975
207,zibaldone,p23_5,bibl,Q777574
208,zibaldone,p23_5,bibl,Q777574
209,zibaldone,p23_6,person,Q594614
210,zibaldone,p23_6,person,Q41370
211,zibaldone,p23_6,bibl,viaf25159474046327660099
212,zibaldone,p23_6,person,Q6197
213,zibaldone,p23_6,person,Q6197
214,zibaldone,p24_1,person,Q1401
215,zibaldone,p24_1,bibl,Q777574
216,zibaldone,p24_1,person,Q1401
217,zibaldone,p24_1,place,Q38
218,zibaldone,p24_2,person,Q2252971
219,zibaldone,p24_2,person,Q594614
220,zibaldone,p24_2,place,Q1741
221,zibaldone,p24_2,bibl,viaf2565277
222,zibaldone,p24_2,bibl,viaf2565277
223,zibaldone,p24_2,bibl,viaf2565277
224,zibaldone,p24_3,person,Q2344301
225,zibaldone,p24_3,person,Q6197
226,zibaldone,p24_3,person,Q2252971
227,zibaldone,p24_3,bibl,Q6245111
228,zibaldone,p24_3,person,Q744540
229,zibaldone,p24_3,person,Q134929
230,zibaldone,p24_3,bibl,viaf186573382
231,zibaldone,p24_3,bibl,viaf186573382
232,zibaldone,p24_3,bibl,viaf186573382
233,zibaldone,p24_3,person,Q403377
234,zibaldone,p24_3,bibl,viaf186573382
235,zibaldone,p24_3,person,person014
236,zibaldone,p24_3,person,Q134929
237,zibaldone,p24_3,person,Q6197
238,zibaldone,p24_3,person,Q6197
239,zibaldone,p24_3,person,Q134929
240,zibaldone,p24_3,bibl,viaf186573382
241,zibaldone,p24_3,place,Q1273
242,zibaldone,p24_3,bibl,viaf186573382
243,zibaldone,p24_3,bibl,viaf64050287
244,zibaldone,p24_3,person,Q727363
245,zibaldone,p24_3,person,Q1587432
246,zibaldone,p24_3,bibl,viaf174683249
247,zibaldone,p24_3,person,Q727363
248,zibaldone,p24_3,person,Q6197
249,zibaldone,p24_3,person,Q134929
250,zibaldone,p24_3,place,Q38
251,zibaldone,p24_3,person,Q2344301
252,zibaldone,p25_1,person,Q2344301
253,zibaldone,p25_1,bibl,viaf186573382
254,zibaldone,p25_1,person,Q2344301
255,zibaldone,p25_1,place,Q2044
256,zibaldone,p25_1,place,Q2044
257,zibaldone,p25_1,person,Q2344301
258,zibaldone,p25_1,person,person036
259,zibaldone,p25_1,person,Q2344301
260,zibaldone,p26_1,person,Q2344301
261,zibaldone,p26_2,person,Q2252971
262,zibaldone,p26_2,person,Q311187
263,zibaldone,p26_2,person,Q3610064
264,zibaldone,p26_2,person,Q766828
265,zibaldone,p26_2,person,Q2344301
266,zibaldone,p26_2,bibl,viaf27105574
267,zibaldone,p26_2,bibl,viaf27105574
268,zibaldone,p26_2,person,Q1067
269,zibaldone,p26_2,person,Q2344301
270,zibaldone,p26_2,bibl,viaf27105574
271,zibaldone,p26_2,person,Q3610064
272,zibaldone,p26_2,person,Q3610064
273,zibaldone,p26_2,person,Q766828
274,zibaldone,p26_2,person,Q3610064
275,zibaldone,p26_2,bibl,viaf27105574
276,zibaldone,p27_1,person,Q134929
277,zibaldone,p27_1,person,Q3610064
278,zibaldone,p27_1,person,Q134929
279,zibaldone,p27_1,bibl,Q6245111
280,zibaldone,p27_1,person,Q744540
281,zibaldone,p27_1,person,Q134929
282,zibaldone,p27_1,person,Q6691
283,zibaldone,p27_1,person,Q2344301
284,zibaldone,p27_1,person,Q134929
285,zibaldone,p27_1,person,Q2344301
286,zibaldone,p27_1,person,Q1067
287,zibaldone,p27_1,person,Q7198
288,zibaldone,p27_1,person,Q2344301
289,zibaldone,p27_1,person,Q134929
290,zibaldone,p27_1,person,Q3610064
291,zibaldone,p28_1,place,Q38
292,zibaldone,p28_1,person,Q213484
293,zibaldone,p28_1,person,Q3762412
294,zibaldone,p28_1,person,Q213484
295,zibaldone,p28_1,bibl,viaf3228176
296,zibaldone,p28_1,person,Q16560637
297,zibaldone,p28_2,person,Q3541151
298,zibaldone,p28_2,bibl,viaf19725880
299,zibaldone,p28_2,person,Q3541151
300,zibaldone,p28_2,person,Q1401
301,zibaldone,p28_2,bibl,viaf19725880
302,zibaldone,p28_2,person,Q465178
303,zibaldone,p28_2,person,Q1401
304,zibaldone,p28_3,person,Q3541151
305,zibaldone,p28_3,person,Q3762412
306,zibaldone,p28_3,person,Q2344301
307,zibaldone,p28_3,person,Q594614
308,zibaldone,p28_3,person,Q134929
309,zibaldone,p28_3,person,Q6197
310,zibaldone,p28_3,person,Q2252971
311,zibaldone,p28_3,person,Q3610064
312,zibaldone,p29_2,place,Q83362
313,zibaldone,p29_2,bibl,viaf85932814
314,zibaldone,p29_3,person,Q3362645
315,zibaldone,p29_3,bibl,Q4014914
316,zibaldone,p29_3,person,Q296244
317,zibaldone,p29_5,place,Q83362
318,zibaldone,p29_6,bibl,Q777574
319,zibaldone,p29_6,person,Q1401
320,zibaldone,p29_6,person,Q168962
321,zibaldone,p29_6,person,Q1401
322,zibaldone,p29_6,bibl,viaf296522146
323,zibaldone,p29_6,person,Q294100
324,zibaldone,p29_6,person,Q310837
325,zibaldone,p29_6,person,Q1541
326,zibaldone,p29_6,person,Q294100
327,zibaldone,p30_1,person,Q311187
328,zibaldone,p30_1,person,Q307
329,zibaldone,p30_2,bibl,viaf161152636141820051965
330,zibaldone,p30_2,person,Q3713116
331,zibaldone,p30_3,paragraph,p3441_1
332,zibaldone,p30_3,bibl,Q145973
333,zibaldone,p30_3,person,Q213484
334,zibaldone,p30_3,person,Q213484
335,zibaldone,p30_3,person,Q213484
336,zibaldone,p30_3,person,Q3762412
337,zibaldone,p31_1,person,Q859
338,zibaldone,p31_1,person,Q913
339,zibaldone,p31_1,person,Q177847
340,zibaldone,p31_1,bibl,Q51879408
341,zibaldone,p31_1,person,Q177847
342,zibaldone,p31_2,bibl,Q1990294
343,zibaldone,p31_2,person,Q9068
344,zibaldone,p31_2,place,Q142
345,zibaldone,p31_2,place,Q142
346,zibaldone,p32_3,bibl,viaf3794165326493516290004
347,zibaldone,p32_3,person,Q29473
348,zibaldone,p32_3,person,Q868
349,zibaldone,p32_3,bibl,viaf39159474315027662531
350,zibaldone,p32_3,person,Q727363
351,zibaldone,p32_3,person,Q29473
352,zibaldone,p32_4,person,Q312420
353,zibaldone,p32_4,person,Q312420
354,zibaldone,p32_4,person,Q312420
355,zibaldone,p32_4,bibl,Q1180144
356,zibaldone,p32_4,bibl,Q1180144
357,zibaldone,p32_4,bibl,Q1180144
358,zibaldone,p32_4,bibl,Q1180144
359,zibaldone,p32_4,bibl,Q1180144
360,zibaldone,p32_4,bibl,Q1180144
361,zibaldone,p32_4,bibl,Q1180144
362,zibaldone,p32_4,bibl,Q1180144
363,zibaldone,p32_4,bibl,Q1180144
364,zibaldone,p32_4,bibl,Q1180144
365,zibaldone,p32_4,bibl,Q1180144
366,zibaldone,p32_4,bibl,Q1180144
367,zibaldone,p32_4,bibl,Q1180144
368,zibaldone,p32_4,bibl,Q1180144
369,zibaldone,p32_4,bibl,Q1180144
370,zibaldone,p32_4,person,Q312420
371,zibaldone,p32_4,bibl,Q1180144
372,zibaldone,p32_4,bibl,Q1180144
373,zibaldone,p32_4,bibl,Q1180144
374,zibaldone,p32_4,bibl,Q1180144
375,zibaldone,p32_4,person,Q312420
376,zibaldone,p32_4,bibl,Q1180144
377,zibaldone,p32_4,bibl,Q1180144
378,zibaldone,p32_4,bibl,Q1180144
379,zibaldone,p32_4,bibl,Q1180144
380,zibaldone,p32_4,bibl,Q1180144
381,zibaldone,p32_4,bibl,Q1180144
382,zibaldone,p32_4,bibl,Q1180144
383,zibaldone,p32_4,bibl,Q1180144
384,zibaldone,p32_4,bibl,Q1180144
385,zibaldone,p32_4,bibl,Q1180144
386,zibaldone,p32_4,bibl,Q1180144
387,zibaldone,p32_4,bibl,Q1180144
388,zibaldone,p32_4,bibl,Q1180144
389,zibaldone,p32_4,person,Q312420
390,zibaldone,p32_4,place,Q1747689
391,zibaldone,p34_1,person,Q312420
392,zibaldone,p34_1,person,Q94757524
393,zibaldone,p34_1,place,Q365
394,zibaldone,p34_1,person,Q61894
395,zibaldone,p34_1,person,Q312420
396,zibaldone,p34_1,person,Q312420
397,zibaldone,p34_1,person,Q312420
398,zibaldone,p34_1,person,Q312420
399,zibaldone,p34_1,bibl,viaf180774635
400,zibaldone,p34_1,person,Q61894
401,zibaldone,p34_1,bibl,viaf202963757
402,zibaldone,p34_1,person,Q978614
403,zibaldone,p34_1,person,Q193769
404,zibaldone,p34_1,person,Q312420
405,zibaldone,p34_1,person,Q17294873
406,zibaldone,p34_1,person,Q1451161
407,zibaldone,p34_1,person,Q312420
408,zibaldone,p34_1,person,Q312420
409,zibaldone,p34_1,bibl,viaf180774635
410,zibaldone,p34_1,person,Q312420
411,zibaldone,p34_1,bibl,viaf180774635
412,zibaldone,p34_1,person,Q312420
413,zibaldone,p34_1,person,Q312420
414,zibaldone,p34_1,bibl,viaf180774635
415,zibaldone,p34_1,bibl,viaf180774635
416,zibaldone,p34_1,bibl,viaf180774635
417,zibaldone,p34_1,bibl,viaf180774635
418,zibaldone,p34_1,bibl,viaf180774635
419,zibaldone,p34_1,bibl,viaf180774635
420,zibaldone,p34_1,person,Q312420
421,zibaldone,p34_1,bibl,viaf180774635
422,zibaldone,p34_1,bibl,viaf180774635
423,zibaldone,p34_1,bibl,viaf180774635
424,zibaldone,p34_1,bibl,viaf180774635
425,zibaldone,p34_1,person,Q312420
426,zibaldone,p34_1,person,Q312420
427,zibaldone,p34_1,bibl,viaf180774635
428,zibaldone,p34_1,bibl,viaf180774635
429,zibaldone,p34_1,person,Q312420
430,zibaldone,p36_2,person,Q723643
431,zibaldone,p36_2,person,Q723643
432,zibaldone,p36_2,person,Q6691
433,zibaldone,p36_2,person,Q44233
434,zibaldone,p36_2,person,Q192417
435,zibaldone,p36_2,person,Q1398
436,zibaldone,p36_2,person,Q6197
437,zibaldone,p36_2,person,Q7198
438,zibaldone,p38_2,person,Q6527
439,zibaldone,p38_2,person,Q296244
440,zibaldone,p38_2,place,Q11772
441,zibaldone,p38_2,person,Q41980
442,zibaldone,p38_2,person,Q59180
443,zibaldone,p38_2,place,Q1747689
444,zibaldone,p38_2,person,Q1430
445,zibaldone,p38_2,person,Q296244
446,zibaldone,p38_2,person,Q59180
447,zibaldone,p38_2,person,Q59180
448,zibaldone,p38_2,person,Q59180
449,zibaldone,p38_2,person,Q59180
450,zibaldone,p38_2,person,Q59180
451,zibaldone,p38_2,place,Q142
452,zibaldone,p39_1,bibl,Q37388
453,zibaldone,p39_1,person,Q37388
454,zibaldone,p39_1,person,Q168962
455,zibaldone,p39_1,person,Q40939
456,zibaldone,p39_1,person,Q6691
457,zibaldone,p40_1,bibl,Q109378161
458,zibaldone,p41_2,person,Q29473
459,zibaldone,p41_2,bibl,Q98142631
460,zibaldone,p41_2,person,Q1310912
461,zibaldone,p41_2,person,Q296244
462,zibaldone,p41_2,bibl,Q4014914
463,zibaldone,p41_2,person,Q296244
464,zibaldone,p41_2,person,Q3531273
465,zibaldone,p41_2,person,Q9068
466,zibaldone,p41_3,person,Q177847
467,zibaldone,p41_3,person,Q165534
468,zibaldone,p41_3,person,Q655618
469,zibaldone,p41_3,person,Q188857
470,zibaldone,p41_3,person,Q177847
471,zibaldone,p41_3,bibl,viaf73960199
472,zibaldone,p41_3,person,Q547681
473,zibaldone,p41_3,person,Q784373
474,zibaldone,p41_3,bibl,Q677997
475,zibaldone,p41_3,person,Q6197
476,zibaldone,p41_3,person,Q47160
477,zibaldone,p41_3,bibl,Q1226213
478,zibaldone,p41_3,person,Q6197
479,zibaldone,p41_3,bibl,viaf61555466
480,zibaldone,p41_3,person,Q1587432
481,zibaldone,p41_3,person,person029
482,zibaldone,p41_3,person,Q6197
483,zibaldone,p42_1,place,Q1747689
484,zibaldone,p42_1,person,Q298729
485,zibaldone,p42_1,person,Q47130
486,zibaldone,p42_1,person,Q212667
487,zibaldone,p42_1,bibl,Q1240983
488,zibaldone,p42_1,person,Q442240
489,zibaldone,p43_4,person,Q47160
490,zibaldone,p43_4,person,Q172048
491,zibaldone,p43_5,place,Q1747689
492,zibaldone,p43_5,bibl,Q1282359
493,zibaldone,p43_5,person,Q59138
494,zibaldone,p43_5,person,Q436002
495,zibaldone,p43_5,person,Q648856
496,zibaldone,p43_5,person,Q442240
497,zibaldone,p43_6,person,Q590501
498,zibaldone,p43_6,person,Q11925383
499,zibaldone,p43_6,bibl,viaf100203633
500,zibaldone,p43_6,person,Q547901
501,zibaldone,p44_1,bibl,Q12902599
502,zibaldone,p44_1,person,Q41523
503,zibaldone,p44_1,person,Q117253
504,zibaldone,p44_1,bibl,Q6245111
505,zibaldone,p44_1,person,Q436634
506,zibaldone,p44_1,person,Q1541
507,zibaldone,p44_3,paragraph,p40_1
508,zibaldone,p44_4,place,Q194450
509,zibaldone,p44_4,person,Q44228
510,zibaldone,p44_4,person,Q2283604
511,zibaldone,p44_4,paragraph,p37_1
512,zibaldone,p46_2,person,Q9200
513,zibaldone,p46_2,paragraph,p92_1
514,zibaldone,p47_3,person,Q1541
515,zibaldone,p47_3,person,Q312420
516,zibaldone,p47_3,person,Q82778
517,zibaldone,p47_3,person,Q6197
518,zibaldone,p49_1,bibl,viaf19961185
519,zibaldone,p49_2,paragraph,p49_1
520,zibaldone,p49_2,bibl,Q60220
521,zibaldone,p49_2,person,Q1398
522,zibaldone,p50_1,paragraph,p47_3
523,zibaldone,p50_1,person,Q1067
524,zibaldone,p50_2,paragraph,p160_1
525,zibaldone,p51_3,bibl,Q18214696
526,zibaldone,p51_3,person,Q15975
527,zibaldone,p51_3,place,Q727
528,zibaldone,p51_4,paragraph,p276_1
529,zibaldone,p51_6,bibl,viaf99893298
530,zibaldone,p52_2,bibl,Q1053313
531,zibaldone,p53_1,bibl,viaf306063064
532,zibaldone,p53_1,person,Q361976
533,zibaldone,p53_1,bibl,Q2693509
534,zibaldone,p53_1,person,Q49767
535,zibaldone,p53_1,bibl,Q19128996
536,zibaldone,p54_1,place,Q1048669
537,zibaldone,p54_1,place,Q1747689
538,zibaldone,p54_1,person,Q47130
539,zibaldone,p54_1,person,Q47154
540,zibaldone,p54_1,person,Q47130
541,zibaldone,p54_1,person,Q311287
542,zibaldone,p54_1,person,Q1398
543,zibaldone,p54_1,person,Q6691
544,zibaldone,p54_1,place,Q1747689
545,zibaldone,p54_1,person,Q6197
546,zibaldone,p54_1,person,Q7198
547,zibaldone,p54_1,place,Q1747689
548,zibaldone,p54_1,place,Q1747689
549,zibaldone,p54_1,bibl,viaf68955699
550,zibaldone,p54_1,person,Q439081
551,zibaldone,p54_1,person,Q221182
552,zibaldone,p54_2,place,Q11772
553,zibaldone,p54_2,place,Q38060
554,zibaldone,p54_2,person,Q182123
555,zibaldone,p54_2,person,Q554387
556,zibaldone,p54_2,place,Q38060
557,zibaldone,p54_2,place,Q142
558,zibaldone,p54_2,place,Q26897
559,zibaldone,p54_2,place,Q1210
560,zibaldone,p55_4,bibl,Q428239
561,zibaldone,p55_4,person,Q510621
562,zibaldone,p55_4,bibl,Q667285
563,zibaldone,p55_4,person,Q44233
564,zibaldone,p55_5,person,Q510621
565,zibaldone,p55_5,bibl,Q428239
566,zibaldone,p55_5,person,Q510621
567,zibaldone,p56_1,bibl,Q135598
568,zibaldone,p56_1,person,Q6527
569,zibaldone,p56_1,person,person147
570,zibaldone,p57_1,person,Q7198
571,zibaldone,p57_1,person,Q1067
572,zibaldone,p57_2,bibl,viaf192614575
573,zibaldone,p57_2,person,Q510621
574,zibaldone,p57_2,person,Q219484
575,zibaldone,p57_3,bibl,Q151883
576,zibaldone,p57_3,person,person147
577,zibaldone,p57_5,person,Q635
578,zibaldone,p57_5,person,Q185126
579,zibaldone,p58_3,person,Q6691
580,zibaldone,p58_4,place,Q38
581,zibaldone,p58_4,bibl,Q4003208
582,zibaldone,p58_4,person,Q166234
583,zibaldone,p58_4,place,Q2634
584,zibaldone,p58_5,paragraph,p41_3
585,zibaldone,p58_5,person,Q33941
586,zibaldone,p58_5,person,Q33941
587,zibaldone,p58_5,person,Q33941
588,zibaldone,p58_5,person,Q177847
589,zibaldone,p58_5,paragraph,p312_2
590,zibaldone,p58_6,bibl,viaf192614575
591,zibaldone,p58_6,person,Q510621
592,zibaldone,p59_4,person,Q250414
593,zibaldone,p59_4,person,Q1067
594,zibaldone,p59_4,person,Q1401
595,zibaldone,p59_4,person,Q1401
596,zibaldone,p59_4,person,Q296244
597,zibaldone,p59_4,bibl,Q1094908
598,zibaldone,p59_4,person,person154
599,zibaldone,p59_4,person,Q1401
600,zibaldone,p60_1,bibl,viaf14841099
601,zibaldone,p60_1,person,Q721846
602,zibaldone,p60_1,bibl,Q3769021
603,zibaldone,p60_1,person,Q3902896
604,zibaldone,p60_3,paragraph,p29_6
605,zibaldone,p60_3,person,Q1541
606,zibaldone,p60_3,person,Q1050480
607,zibaldone,p60_3,person,Q1092339
608,zibaldone,p60_3,person,Q650906
609,zibaldone,p60_3,person,Q1050480
610,zibaldone,p60_3,person,Q168962
611,zibaldone,p60_3,person,Q168962
612,zibaldone,p60_3,person,Q117253
613,zibaldone,p61_1,person,Q6197
614,zibaldone,p61_1,bibl,Q943884
615,zibaldone,p61_1,person,Q6197
616,zibaldone,p62_1,place,Q1048669
617,zibaldone,p62_1,person,Q6197
618,zibaldone,p62_1,person,Q2054
619,zibaldone,p62_1,person,Q82778
620,zibaldone,p62_1,bibl,Q720535
621,zibaldone,p62_1,person,Q2054
622,zibaldone,p62_1,person,Q721846
623,zibaldone,p62_1,paragraph,p312_1
624,zibaldone,p62_2,person,Q129772
625,zibaldone,p62_2,person,Q129772
626,zibaldone,p62_3,person,Q102865
627,zibaldone,p62_3,bibl,Q1236228
628,zibaldone,p62_3,person,Q31845
629,zibaldone,p62_3,bibl,Q27869331
630,zibaldone,p62_3,person,Q5959
631,zibaldone,p62_3,person,Q8409
632,zibaldone,p62_3,bibl,Q1236228
633,zibaldone,p62_3,person,Q31845
634,zibaldone,p62_3,person,Q8409
635,zibaldone,p62_3,bibl,Q1236228
636,zibaldone,p62_3,person,Q31845
637,zibaldone,p62_3,person,Q102865
638,zibaldone,p62_3,person,Q8409
639,zibaldone,p63_1,paragraph,p41_3
640,zibaldone,p63_1,bibl,viaf45087016
641,zibaldone,p63_1,person,Q3893943
642,zibaldone,p63_4,person,Q1056143
643,zibaldone,p64_1,paragraph,p32_1
644,zibaldone,p64_3,bibl,viaf181093799
645,zibaldone,p64_3,person,Q439081
646,zibaldone,p64_3,place,Q6231
647,zibaldone,p64_3,person,viaf7735539
648,zibaldone,p65_1,person,Q84368494
649,zibaldone,p65_1,person,person017
650,zibaldone,p65_1,paragraph,p188_2
651,zibaldone,p67_2,bibl,viaf76400431
652,zibaldone,p67_2,person,Q3837050
653,zibaldone,p67_2,person,Q379923
654,zibaldone,p67_3,bibl,viaf19961185
655,zibaldone,p67_3,person,Q3762424
656,zibaldone,p67_4,place,Q194450
657,zibaldone,p67_4,person,Q318718
658,zibaldone,p67_4,bibl,Q4010942
659,zibaldone,p67_4,person,Q2418816
660,zibaldone,p67_4,place,Q194450
661,zibaldone,p67_4,place,Q194450
662,zibaldone,p68_1,paragraph,p206_3
663,zibaldone,p68_2,person,Q6612
664,zibaldone,p68_2,bibl,Q60220
665,zibaldone,p68_2,person,Q1398
666,zibaldone,p69_1,bibl,Q546203
